,unique,name,transportation,aid,population,education,graduation,reduced_lunch,homeless,multilingual,tax,budget_cuts ,gender,percent_of _low_income_students,funding,salary
Burlington,2850,Lumberton Twp,"73,845","4,721,940",1170,"906,745",94.1,75,16,45,1,1,1,27,0,0
Burlington,2960,Mansfield Twp,"291,577","864,028",549,"610,176",81.9,11,5,12,1,0,1,34,0,1
Burlington,3010,Maple Shade Twp,"613,516","24,188,902",2412,"2,648,880",88.6,228,64,201,0,0,1,42,0,0
Burlington,3070,Medford Lakes Boro,"26,367","1,233,813",487,"518,787",85,0,0,0,1,1,1,3,1,1
Burlington,3080,Medford Twp,"240,580","4,252,865",2727,"2,275,376",77.8,39,0,55,1,1,0,5,1,1
Burlington,3360,Moorestown Twp,"1,606,994","5,412,056",3892,"4,242,514",96.9,98,12,61,0,1,1,10,1,1
Burlington,3430,Mount Holly Twp,"127,355","14,033,569",1127,"755,237",93.1,115,33,32,1,1,1,57,0,1
Burlington,3440,Mount Laurel Twp,"2,508,070","7,364,000",4309,"4,651,691",77,125,30,91,0,1,1,12,1,0
Burlington,3540,New Hanover Twp,"161,552","2,228,821",186,"234,165",94.1,5,4,19,1,1,0,48,0,0
Burlington,3650,North Hanover Twp,"488,491","17,829,739",1422,"1,109,864",56,207,3,39,1,1,0,31,0,0
Burlington,3690,Northern Burlington Reg,"1,348,325","23,463,469",2101,"2,426,345",97.2,104,3,31,0,1,1,13,0,0
Burlington,3920,Palmyra Boro,"97,770","7,098,442",1039,"923,227",92.8,61,17,39,1,1,1,21,0,0
Burlington,4050,Pemberton Twp,"2,481,707","67,989,696",4331,"3,385,257",94.8,742,84,118,1,1,1,56,0,1
Burlington,4320,Rancocas Valley Regional,"1,109,889","17,344,064",2005,"1,671,547",93.9,142,21,25,0,1,1,24,0,0
Burlington,4450,Riverside Twp,"187,558","21,469,309",1536,"1,665,420",85.4,196,59,407,1,1,1,52,0,0
Burlington,4460,Riverton,"19,613","548,200",261,"204,103",79.1,11,0,5,0,0,0,13,1,0
Burlington,4740,Shamong Twp,"191,437","2,829,452",663,"507,214",86.7,9,0,14,0,1,1,9,0,0
Burlington,4930,Southampton Twp,"420,886","1,282,876",683,"505,731",94.1,26,2,11,1,0,1,14,1,0
Burlington,5010,Springfield Twp,"139,769","793,414",288,"242,749",97.1,1,0,2,1,0,1,13,0,0
Burlington,5130,Tabernacle Twp,"344,597","2,641,666",688,"543,635",93,11,0,8,0,1,1,9,0,1
Burlington,5490,Washington Twp,"83,884","147,522",908,"42,496",93,63,6,23,0,1,1,18,1,1
Burlington,5720,Westampton,"408,807","5,072,008",3693,"885,755",62,335,86,151,1,0,1,20,0,0
Burlington,5805,Willingboro Twp,"1,533,525","51,559,840",103,"4,465,049",77.6,1,0,0,1,0,1,6,0,0
Burlington,5890,Woodland Twp,"63,364","534,022",1354,"100,588",41.1,74,8,16,0,0,1,8,1,1
Camden,150,Audubon Boro,"73,419","9,951,424",532,"1,173,689",80.5,45,0,15,1,1,1,21,0,0
Camden,190,Barrington Boro,"75,087","4,556,834",1170,"570,917",65.5,90,7,51,0,0,1,26,0,0
Camden,260,Bellmawr Boro,"169,353","10,458,789",840,"1,188,955",87.8,18,2,13,1,0,1,39,0,0
Camden,330,Berlin Boro,"308,976","6,217,587",612,"968,251",56.4,20,5,24,1,0,1,11,0,0
Camden,340,Berlin Twp,"270,602","6,234,605",3426,"925,534",52.9,202,36,74,1,1,1,34,0,1
Camden,390,Black Horse Pike Regional,"973,979","41,165,949",263,"3,958,437",93,25,8,8,1,1,1,27,0,0
Camden,580,Brooklawn Boro,"17,795","5,421,733",6956,"366,801",90,0,190,859,1,1,1,64,0,0
Camden,680,Camden City,"4,491,244","333,950,970",2189,"9,745,700",64.7,225,8,2,0,1,1,57,0,0
Camden,700,Camden County Vocational,0,"31,321,244",2189,"2,491,822",96.7,40,47,58,0,1,1,36,0,1
Camden,800,Cherry Hill Twp,"2,884,053","36,377,427",10651,"10,147,314",94.1,396,40,409,0,1,1,18,1,1
Camden,810,Chesilhurst,"170,166","1,552,558",,"122,045",91,57,11,52,0,1,,,,
Camden,880,Clementon Boro,"220,959","11,060,703",605,"861,459",88.3,85,29,38,1,0,1,62,0,1
Camden,940,Collingswood Boro,"176,430","11,066,557",2255,"1,012,100",86.7,39,2,23,1,1,1,28,0,1
Camden,1255,Eastern Camden County Reg,"569,092","10,704,565",1898,"2,092,660",94.5,1,1,0,0,1,0,11,0,1
Camden,1720,Gibbsboro Boro,"20,818","2,240,277",280,"163,500",37,199,53,77,0,0,1,21,0,0
Camden,1770,Gloucester City,"233,679","36,762,342",2390,"1,108,064",87.2,421,43,166,0,0,1,63,0,1
Camden,1780,Gloucester Twp,"2,886,319","64,825,488",6516,"7,190,687",82,33,9,10,0,0,1,41,1,0
Camden,1880,Haddon Heights Boro,"118,664","2,282,914",1450,"659,445",94.3,54,8,26,0,1,0,11,1,1
Camden,1890,Haddon Twp,"3,722","9,962,936",2072,"2,200,321",91.7,4,5,7,1,1,0,14,0,0
Camden,1900,Haddonfield,"183,654","3,024,370",2756,"2,990,187",96.8,140,242,169,0,1,0,2,1,1
