,unique,name,transportation,aid,population,education,graduation,reduced_lunch,homeless,multilingual,tax,budget_cuts ,gender,percent_of _low_income_students,funding,salary
Somerset,3320,Montgomery Twp,"2,736,343","7,843,652",4484,"5,336,510",96.8,1,0,16,0,0,1,5,1,0
Somerset,3670,North Plainfield Boro,"497,230","58,649,072",3647,"4,400,545",87.8,30,2,21,1,1,1,64,0,0
Somerset,4810,Somerset Co Vocational,0,"1,428,562",526.5,"430,108",98.8,270.5,26,523,0,1,0,12,1,1
Somerset,4815,Somerset Hills Regional,"589,395","2,298,892",1670,"1,660,583",86.4,30,0,21,1,1,1,14,1,1
Somerset,4820,Somerville Boro,"204,865","9,630,266",2107,"1,698,214",90.6,124,5,138,1,0,1,27,1,0
Somerset,4850,South Bound Brook,"64,547","6,272,025",434,"668,989",55.5,6,0,15,0,1,0,47,0,1
Somerset,5470,Warren Twp,"1,120,126","3,022,886",1669,"1,876,312",81.1,25,3,41,0,1,1,3,1,1
Somerset,5540,Watchung Boro,"451,320","1,116,702",674,"807,647",95,68,0,60,1,1,1,1,0,1
Somerset,5550,Watchung Hills Regional,"896,644","2,439,898",1684,"1,547,361",97.8,192,9,94.5,0,1,1,3,1,1
Sussex,90,Andover Reg,"542,672","1,295,939",448,"561,343",78,13,1,44,1,1,1,16,1,1
Sussex,640,Byram Twp,"232,137","2,418,834",826,"667,509",39,20,1,55,0,-,1,5,0,0
Sussex,1560,Frankford Twp,"253,966","901,351",502,"453,410",57,0,4,14.5,0,1,1,9,1,1
Sussex,1570,Franklin Boro,"49,243","3,442,968",502,"481,245",91.4,117,8,178,1,0,0,37,0,0
Sussex,1630,Fredon Twp,"33,235","292,167",186,"196,640",77.2,270.5,45,87,0,1,1,3,1,0
Sussex,1800,Green Twp,"403,787","1,839,659",398,"424,190",95.4,0,0,0,0,1,1,6,1,1
Sussex,1930,Hamburg Boro,"44,903","1,347,843",235,"197,985",66,0,0,0,0,1,0,17,0,0
Sussex,1980,Hampton Twp,"187,758","576,734",314,"359,838",71.3,151,43,41,1,1,1,12,1,0
Sussex,2030,Hardyston Twp,"452,207","1,238,744",577,"575,155",87,617,65,485.5,1,1,1,11,1,1
Sussex,2165,High Point Regional,"748,822","3,484,260",794,"738,367",93.2,150.5,35,27,0,1,0,15,0,1
Sussex,2240,Hopatcong,"668,951","2,716,165",1558,"1,472,464",90.6,5,2,1,1,1,1,27,0,1
Sussex,2465,Kittatinny Regional,"630,048","2,029,038",745,"691,576",94.9,0,4,1,0,1,0,9,0,1
Sussex,2490,Lafayette Twp,"107,714","803,469",216,"176,574",73.4,492.5,11,657,0,1,1,10,1,0
Sussex,2615,Lenape Valley Regional,"376,894","5,319,005",668,"784,447",88.7,252,13.5,53.5,0,1,0,11,0,0
Sussex,3300,Montague Twp,"326,614","2,135,063",308,"342,492",95.4,49,0,28,1,1,0,32,0,1
Sussex,3590,Newton Town,"229,942","13,032,241",1593.5,"1,360,187",90.3,303,50.5,1719.5,1,1,1,24,0,0
Sussex,3840,Ogdensburg Boro,"20,559","1,982,573",268,"280,674",82,1,3,0,1,1,0,20,0,0
Sussex,4650,Sandyston-Walpack Twp,"108,012","440,917",128,"158,329",95.4,193,10,27,0,1,0,11,0,0
Sussex,4960,Sparta Twp,"1,128,376","5,763,479",3290,"3,360,811",97.6,1,2,0,0,1,1,4,1,1
Sussex,5030,Stanhope Boro,"22,257","1,113,251",317,"345,444",82,261.5,23.5,193,1,1,1,15,0,0
Sussex,5040,Stillwater Twp,"151,123","514,629",287,"236,765",95.4,75,6.5,28,1,0,0,10,0,1
Sussex,5100,Sussex-Wantage Regional,"824,237","5,777,626",720,"1,273,826",39,7,3,0,1,0,1,26,0,1
Sussex,5110,Sussex County Vocational,0,"4,197,167",1075,"461,389",97.4,27,20,12,0,1,1,19,1,0
Sussex,5360,Vernon Twp,"2,202,151","16,510,446",2906.5,"3,336,134",92.6,174,10,17,1,1,1,16,0,1
Sussex,5435,Wallkill Valley Regional,"508,608","3,277,529",615.5,"571,584",91,45.5,0,17,0,1,1,14,0,1
Union,310,Berkeley Heights Twp,"470,303","3,027,816",2418.5,"2,377,140",95.1,22,3,26.5,0,1,1,2,1,1
Union,850,Clark Twp,"256,592","2,803,295",2257.5,"2,545,746",97.3,42,20,18,1,0,1,3,1,0
Union,980,Cranford Twp,"363,329","4,556,373",3738,"4,275,072",96.6,5,30,17,1,1,1,2,1,0
Union,1320,Elizabeth City,"5,677,331","532,961,132",27918.5,"30,504,417",87.9,127.5,9,34,0,1,1,77,0,1
Union,1710,Garwood Boro,"88,326","701,643",350,"578,916",83.3,153,2,116,0,1,1,17,1,0
Union,2190,Hillside Twp,"539,453","34,967,331",2973.5,"3,443,808",85.3,890,125,770,1,1,1,59,0,0
Union,2420,Kenilworth Boro,"173,781","7,785,322",1421.5,"1,218,446",95.2,36,1,5,1,11,1,14,1,1
Union,2660,Linden City,"1,811,345","54,284,533",6347.5,"7,110,275",91.7,43,1,12,0,1,1,56,1,0
Union,3470,Mountainside Boro,"380,713","1,484,594",748,"1,165,254",83.7,1169,28,979,1,1,1,2,1,0
Union,3560,New Providence Boro,"292,206","2,895,412",2312.5,"2,716,452",94.9,109,8,94,0,1,1,2,1,0
Union,4160,Plainfield City,"2,624,902","246,081,549",10178,"13,960,780",67.2,155,21,97,1,1,1,67,0,1
Union,4290,Rahway City,"1,115,594","37,678,120",4177.5,"4,727,813",80.8,2,5,10,1,1,1,49,0,1
Union,4540,Roselle Boro,"617,142","40,554,813",3030,"3,629,358",85.8,33,5,33,1,1,1,53,0,0
Union,4550,Roselle Park Boro,"155,295","19,249,850",2002.5,"2,263,710",91.2,18,0,26,1,1,1,40,0,1
Union,4670,Scotch Plains-Fanwood Reg,"1,293,546","7,401,870",5650.5,"6,664,955",94.9,0,0,7,1,1,0,3,1,0
Union,5000,Springfield Twp,"666,484","3,653,186",2184.5,"2,516,058",93,0,192,4141,0,0,1,13,0,0
Union,5090,Summit City,"203,264","4,735,491",3978.5,"4,675,859",96.4,90,1,127,0,1,1,13,1,0
Union,5260,Union County Vocational,0,"17,505,113",1959.5,"2,300,820",99.7,381,4,31,0,1,0,10,0,1
Union,5290,Union Twp,"2,390,877","45,949,949",7773,"8,958,353",92.3,83,1,48,0,1,1,2,1,0
Union,5730,Westfield Town,"1,040,809","7,549,099",5864.5,"6,791,129",96.5,730,400,6556,1,1,1,2,1,1
Union,5810,Winfield Twp,"60,297","1,668,813",146,"163,663",86.8,69,3,63,1,1,0,20,0,1
Warren,30,Allamuchy Twp,"504,412","1,063,035",441,"619,652",97,35,0,40,0,0,1,6,1,0
Warren,70,Alpha Boro,"94,939","2,121,801",198,"323,909",92,12,12,10,0,1,1,23,0,0
Warren,280,Belvidere Town,"14,798","2,531,769",577,"352,075",92.1,42,0,15,0,1,0,22,0,0
Warren,400,Blairstown Twp,"83,167","894,109",425,"372,859",93.6,49,7,47,0,1,1,14,0,0
Warren,1620,Franklin Twp,"16,087","299,222",215,"166,613",89,168,27,231,0,1,0,45,1,0
Warren,1670,Frelinghuysen Twp,"81,177","207,950",119,"114,922",70.3,141,16,39,1,1,1,10,0,0
Warren,1785,Great Meadows Regional,"147,093","1,888,956",650,"763,471",66.6,80,6,68,0,1,0,13,0,0
Warren,1840,Greenwich Twp,"134,082","5,334,405",629,"758,147",90.6,3,0,0,0,1,1,33,1,1
Warren,1870,Hackettstown,"230,529","16,126,229",2011,"1,809,664",91.3,2,0,0,1,1,1,29,1,0
Warren,2040,Harmony Twp,"146,873","392,530",184,"242,991",93,7,0,0,0,1,0,12,1,0
Warren,2250,Hope Twp,"63,460","348,566",135,"167,533",72.9,17,1,0,0,1,0,11,1,0
Warren,2470,Knowlton Twp,"90,234","337,872",180,"145,196",58.9,178,128.5,215,1,1,1,12,0,0
Warren,2790,Lopatcong Twp,"199,645","4,303,009",722,"1,204,096",42.3,136,7,61.5,0,1,1,12,1,1
Warren,2970,Mansfield Twp,"460,086","3,617,731",580,"647,818",81.9,89.5,19,24,0,1,1,34,0,1
Warren,3675,North Warren Regional,"24,106","1,240,718",619,"607,635",94.2,12,4,2,0,1,1,7,0,1
Warren,3890,Oxford Twp,"157,585","2,390,730",263,"271,037",53.9,25,18,15,1,1,1,14,0,0
Warren,4100,Phillipsburg Town,"611,311","47,201,096",3960.5,"1,395,514",89.1,1,0,9,1,1,1,52,0,1
Warren,4200,Pohatcong Twp,"212,402","2,612,592",312,"492,905",68.7,32.5,3.5,0.5,0,1,1,23,1,0
Warren,5460,Warren County Vocational,"212,027","3,433,758",406,"436,573",100,10,0,0,1,1,1,15,0,0
Warren,5465,Warren Hills Regional,"380,381","9,385,897",1546,"1,041,953",85.7,7,0,0,0,1,1,18,0,1
Warren,5480,Washington Boro,"29,750","4,477,311",572,"570,361",90.6,72,11,7,1,1,1,38,0,0
Warren,5530,Washington Twp,"258,367","803,768",407,"351,820",93,9,0,18,0,0,1,4,1,1
Warren,5780,White Twp,"249,609","622,794",261,"274,851",93.8,24.5,2,130,1,0,0,15,1,0
,,,,,,,,,,,0,1,,,,
,,,,,,,,,,,`,,,,,
